"Област","Община","Населено място","Район","Име на институцията","Вид на институцията","Вид на институцията - детайлен","Вид на институцията според начина на финансиране"
"София-град","Столична","София","Лозенец","ДГ № 166 ""Веселушка""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","ДГ №174""Фют""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Люлин","27. СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","33 ОУ ""Санкт Петербург""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Люлин","37. СУ ""Райна Княгиня""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","40 СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","56.СУ ""Проф. К. Иречек""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","77 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Люлин","79 СУ ""Индира Ганди""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","90 СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","96. СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","97 СУ ""Братя Миладинови""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Люлин","103. ОУ ""ВАСИЛ ЛЕВСКИ""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Люлин","137 СУ ""Ангел Кънчев""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Илинден","33. ЕГ ""Света София""","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Люлин","ЧНГ ""ЕРИХ КЕСТНЕР""","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Витоша","ЧСУ ""П.Р.Славейков""","неспециализирано","средно","Частно"
"София-град","Столична","София","Люлин","ЧОУ ""ЕРИХ КЕСТНЕР""","неспециализирано","основно","Частно"
"София-град","Столична","София","Слатина","ЧДГ ""БРИТАНИКА""","детска градина","детска градина","Частно"
"София-град","Столична","София","Люлин","ЧДГ ""Ерих Кестнер""","детска градина","детска градина","Частно"
"София-град","Столична","София","Люлин","ЧДГ""Чудната къщичка""","детска градина","детска градина","Частно"
"София-град","Столична","София","Люлин","ДГ № 95"" ОМАЙНИЧЕ""","детска градина","детска градина","Общинско"
